query_id,0000,0001,0002,0003,0004,0005,0006,0007,0008,0009,0010,0011,0012,0013,0014,0015
0000,1.000000,0.976897,0.969639,0.964180,0.941480,0.922052,0.919797,0.927450,0.926669,0.928105,0.923656,0.930072,0.931715,0.933503,0.930406,0.928436
0001,0.976897,1.000000,0.976534,0.965536,0.949884,0.927375,0.917919,0.920254,0.919898,0.925347,0.922339,0.928505,0.934612,0.936101,0.935107,0.928357
0002,0.969639,0.976534,1.000000,0.980639,0.961908,0.946969,0.941998,0.942387,0.939294,0.942409,0.939002,0.941443,0.944950,0.944512,0.942470,0.932396
0003,0.964180,0.965536,0.980639,0.999999,0.982425,0.957862,0.953906,0.947813,0.946075,0.951153,0.953480,0.954109,0.952127,0.951989,0.952024,0.949031
0004,0.941480,0.949884,0.961908,0.982425,1.000000,0.971083,0.964506,0.952627,0.949437,0.952080,0.957006,0.952709,0.942178,0.938340,0.939506,0.939386
0005,0.922052,0.927375,0.946969,0.957862,0.971083,1.000000,0.987865,0.961946,0.955098,0.954983,0.958539,0.958602,0.950581,0.946203,0.943973,0.937466
0006,0.919797,0.917919,0.941998,0.953906,0.964506,0.987865,1.000000,0.976486,0.969321,0.966475,0.967817,0.961051,0.944362,0.941374,0.934638,0.928539
0007,0.927450,0.920254,0.942387,0.947813,0.952627,0.961946,0.976486,1.000000,0.987878,0.980496,0.972665,0.968691,0.948505,0.937850,0.924864,0.924662
0008,0.926669,0.919898,0.939294,0.946075,0.949437,0.955098,0.969321,0.987878,1.000000,0.993231,0.982819,0.971581,0.951169,0.942022,0.934379,0.934155
0009,0.928105,0.925347,0.942409,0.951153,0.952080,0.954983,0.966475,0.980496,0.993231,1.000000,0.990039,0.976101,0.958152,0.945300,0.938437,0.938904
0010,0.923656,0.922339,0.939002,0.953480,0.957006,0.958539,0.967817,0.972665,0.982819,0.990039,1.000000,0.987324,0.963437,0.950213,0.944807,0.947760
0011,0.930072,0.928505,0.941443,0.954109,0.952709,0.958602,0.961051,0.968691,0.971581,0.976101,0.987324,1.000000,0.977981,0.965214,0.959096,0.958075
0012,0.931715,0.934612,0.944950,0.952127,0.942178,0.950581,0.944362,0.948505,0.951169,0.958152,0.963437,0.977981,1.000000,0.983683,0.974968,0.969359
0013,0.933503,0.936101,0.944512,0.951989,0.938340,0.946203,0.941374,0.937850,0.942022,0.945300,0.950213,0.965214,0.983683,1.000000,0.990367,0.980704
0014,0.930406,0.935107,0.942470,0.952024,0.939506,0.943973,0.934638,0.924864,0.934379,0.938437,0.944807,0.959096,0.974968,0.990367,1.000000,0.987102
0015,0.928436,0.928357,0.932396,0.949031,0.939386,0.937466,0.928539,0.924662,0.934155,0.938904,0.947760,0.958075,0.969359,0.980704,0.987102,1.000000
