query_id,0000,0001,0002,0003,0004,0005,0006,0007,0008,0009,0010,0011,0012,0013,0014,0015
0000,1.000000,0.976874,0.969610,0.964217,0.941507,0.922073,0.919749,0.927433,0.926689,0.928123,0.923653,0.930063,0.931781,0.933571,0.930463,0.928482
0001,0.976874,1.000000,0.976537,0.965578,0.949898,0.927422,0.917920,0.920290,0.919948,0.925403,0.922368,0.928491,0.934665,0.936156,0.935125,0.928395
0002,0.969610,0.976537,1.000000,0.980655,0.961925,0.946978,0.941949,0.942310,0.939279,0.942408,0.939011,0.941395,0.944948,0.944526,0.942492,0.932440
0003,0.964217,0.965578,0.980655,1.000000,0.982431,0.957872,0.953851,0.947809,0.946077,0.951170,0.953501,0.954113,0.952202,0.952075,0.952094,0.949083
0004,0.941507,0.949898,0.961925,0.982431,1.000000,0.971134,0.964507,0.952611,0.949454,0.952096,0.957046,0.952671,0.942211,0.938430,0.939589,0.939446
0005,0.922073,0.927422,0.946978,0.957872,0.971134,1.000000,0.987838,0.961846,0.955099,0.954980,0.958572,0.958575,0.950591,0.946268,0.944034,0.937508
0006,0.919749,0.917920,0.941949,0.953851,0.964507,0.987838,1.000000,0.976430,0.969309,0.966431,0.967820,0.960991,0.944305,0.941353,0.934648,0.928501
0007,0.927433,0.920290,0.942310,0.947809,0.952611,0.961846,0.976430,1.000000,0.987863,0.980448,0.972709,0.968677,0.948511,0.937844,0.924899,0.924642
0008,0.926689,0.919948,0.939279,0.946077,0.949454,0.955099,0.969309,0.987863,1.000000,0.993207,0.982830,0.971522,0.951168,0.942093,0.934486,0.934181
0009,0.928123,0.925403,0.942408,0.951170,0.952096,0.954980,0.966431,0.980448,0.993207,1.000000,0.990049,0.976020,0.958125,0.945344,0.938502,0.938931
0010,0.923653,0.922368,0.939011,0.953501,0.957046,0.958572,0.967820,0.972709,0.982830,0.990049,1.000000,0.987280,0.963436,0.950298,0.944875,0.947761
0011,0.930063,0.928491,0.941395,0.954113,0.952671,0.958575,0.960991,0.968677,0.971522,0.976020,0.987280,1.000000,0.978003,0.965293,0.959190,0.958072
0012,0.931781,0.934665,0.944948,0.952202,0.942211,0.950591,0.944305,0.948511,0.951168,0.958125,0.963436,0.978003,1.000000,0.983711,0.975032,0.969385
0013,0.933571,0.936156,0.944526,0.952075,0.938430,0.946268,0.941353,0.937844,0.942093,0.945344,0.950298,0.965293,0.983711,1.000000,0.990410,0.980754
0014,0.930463,0.935125,0.942492,0.952094,0.939589,0.944034,0.934648,0.924899,0.934486,0.938502,0.944875,0.959190,0.975032,0.990410,1.000000,0.987111
0015,0.928482,0.928395,0.932440,0.949083,0.939446,0.937508,0.928501,0.924642,0.934181,0.938931,0.947761,0.958072,0.969385,0.980754,0.987111,1.000000
